Date,Clicks,Impressions,CTR,Position
2026-03-01,0,26,0%,17.8
2026-03-02,0,37,0%,15.2
2026-03-03,0,32,0%,13.4
2026-03-04,2,35,5.71%,10.1
2026-03-05,0,30,0%,16.9
2026-03-06,0,23,0%,15.4
2026-03-07,0,19,0%,11.1
2026-03-08,1,18,5.56%,13.4
2026-03-09,0,23,0%,13.7
2026-03-10,0,32,0%,8.8
2026-03-11,0,30,0%,11.9
2026-03-12,1,35,2.86%,8.1
2026-03-13,0,29,0%,7.1
2026-03-14,0,22,0%,10
2026-03-15,0,28,0%,9.9
2026-03-16,0,42,0%,8
2026-03-17,0,31,0%,12.1
2026-03-18,0,49,0%,7.5
2026-03-19,0,74,0%,18.5
2026-03-20,1,103,0.97%,25.6
2026-03-21,0,150,0%,15.3
2026-03-22,0,89,0%,19.7
2026-03-23,0,93,0%,13.5
2026-03-24,0,90,0%,11.8
2026-03-25,0,99,0%,22.9
2026-03-26,2,123,1.63%,9.1
2026-03-27,0,108,0%,11.6
2026-03-28,2,80,2.5%,12.1
2026-03-29,1,107,0.93%,17.8
2026-03-30,1,94,1.06%,11.6
2026-03-31,0,81,0%,11.8
2026-04-01,1,66,1.52%,11.5
2026-04-02,0,54,0%,10.3
2026-04-03,0,46,0%,13.8
2026-04-04,0,69,0%,15.4
2026-04-05,0,58,0%,17.1
2026-04-06,1,92,1.09%,13.6
2026-04-07,0,86,0%,11.6
2026-04-08,0,53,0%,14
2026-04-09,1,52,1.92%,15.7
2026-04-10,0,45,0%,9.1
2026-04-11,2,56,3.57%,13.4
2026-04-12,1,45,2.22%,16.2
2026-04-13,0,59,0%,13.2
2026-04-14,0,37,0%,14.7
2026-04-15,0,40,0%,20.3
2026-04-16,0,50,0%,15.1
2026-04-17,0,42,0%,19.5
2026-04-18,0,47,0%,16.3
2026-04-19,0,61,0%,10.1
2026-04-20,1,54,1.85%,17.7
2026-04-21,0,65,0%,19.6
2026-04-22,0,60,0%,20.4
2026-04-23,0,44,0%,12
2026-04-24,0,40,0%,17.2
2026-04-25,0,24,0%,18
2026-04-26,0,40,0%,9.7
2026-04-27,1,50,2%,15.9
2026-04-28,0,50,0%,21.6
2026-04-29,0,53,0%,21.3
2026-04-30,0,49,0%,18.7
2026-05-01,1,25,4%,19
2026-05-02,0,39,0%,16.9
2026-05-03,0,48,0%,17.5
2026-05-04,2,48,4.17%,10.1
2026-05-05,0,44,0%,17.3
2026-05-06,0,71,0%,18.3
2026-05-07,0,51,0%,15.1
2026-05-08,0,55,0%,11.9
2026-05-09,0,71,0%,13.1
2026-05-10,0,82,0%,15.4
2026-05-11,1,64,1.56%,14.3
2026-05-12,0,103,0%,13.9
2026-05-13,0,124,0%,18.6
2026-05-14,0,96,0%,10.5
2026-05-15,1,86,1.16%,11.7
2026-05-16,0,59,0%,11.2
2026-05-17,0,63,0%,17.5
2026-05-18,0,70,0%,16.3
2026-05-19,0,75,0%,19.7
2026-05-20,2,102,1.96%,23.9
2026-05-21,0,79,0%,18.1
2026-05-22,0,74,0%,17
2026-05-23,0,70,0%,16.9
2026-05-24,0,65,0%,13.5
2026-05-25,0,67,0%,16.9
2026-05-26,0,80,0%,19
2026-05-27,0,115,0%,19.7
2026-05-28,1,113,0.88%,18.7
2026-05-29,1,103,0.97%,16
2026-05-30,0,98,0%,12.7
2026-05-31,1,112,0.89%,13.2
