Country,Clicks,Impressions,CTR,Position
United Kingdom,28,4498,0.62%,16.17
Portugal,1,3,33.33%,5.67
United States,0,717,0%,10.51
Germany,0,113,0%,15.18
Switzerland,0,46,0%,16.28
Brazil,0,45,0%,9.27
Canada,0,33,0%,5.88
Ireland,0,30,0%,14.63
India,0,27,0%,21.26
Vietnam,0,21,0%,17.14
Netherlands,0,18,0%,13.67
Mexico,0,13,0%,5.15
Spain,0,13,0%,8.46
Italy,0,12,0%,17.5
Philippines,0,11,0%,14.36
Indonesia,0,11,0%,17.18
Australia,0,9,0%,7.11
Japan,0,9,0%,20.33
Poland,0,7,0%,6.14
France,0,7,0%,9.29
Russia,0,6,0%,10.67
Colombia,0,6,0%,16.17
Pakistan,0,5,0%,10.8
Chile,0,5,0%,17.6
Ecuador,0,4,0%,5.5
Serbia,0,4,0%,7.5
Paraguay,0,4,0%,16.25
New Zealand,0,4,0%,18.5
Peru,0,4,0%,20
Bulgaria,0,4,0%,24
Ukraine,0,3,0%,2
Argentina,0,3,0%,2.33
Iran,0,3,0%,6
Hong Kong,0,3,0%,9.67
Israel,0,3,0%,10
South Korea,0,3,0%,13.67
Malaysia,0,3,0%,15
Turkey,0,3,0%,15.67
Romania,0,3,0%,26.33
Dominican Republic,0,3,0%,30
Luxembourg,0,2,0%,2.5
Guyana,0,2,0%,3
Belarus,0,2,0%,3.5
Slovenia,0,2,0%,5
Guatemala,0,2,0%,8
Thailand,0,2,0%,8
South Africa,0,2,0%,8
United Arab Emirates,0,2,0%,10
Costa Rica,0,2,0%,19
Singapore,0,2,0%,22
Bangladesh,0,2,0%,24
Venezuela,0,2,0%,24
Morocco,0,2,0%,35
Saudi Arabia,0,2,0%,51
Egypt,0,2,0%,72
Oman,0,1,0%,1
Puerto Rico,0,1,0%,1
Bosnia & Herzegovina,0,1,0%,2
Haiti,0,1,0%,2
China,0,1,0%,3
Honduras,0,1,0%,3
Kazakhstan,0,1,0%,3
Nepal,0,1,0%,4
El Salvador,0,1,0%,4
Greece,0,1,0%,5
Albania,0,1,0%,6
Austria,0,1,0%,6
Palestine,0,1,0%,8
Belgium,0,1,0%,10
Sweden,0,1,0%,10
Zimbabwe,0,1,0%,11
Hungary,0,1,0%,17
Taiwan,0,1,0%,19
Iraq,0,1,0%,39
Ethiopia,0,1,0%,41
Qatar,0,1,0%,65
Uzbekistan,0,1,0%,74
